english_name,hebrew_name,hebrew_description,linked_files,light_mode_colors,dark_mode_colors
Home Page,דף הבית,"עמוד הנחיתה הראשי הכולל את גיבור החישוב וכרטיס השיתוף","app/page.tsx","--neu-card; --neu-accent; --heading-h1-color; --paragraph-color","--neu-card; --neu-accent; --heading-h1-color; --paragraph-color"
Calculator Funnel Page,עמוד מחשבון,"תצוגת טופס קלט למחשבון עם חוויית משתמש מונחית","app/(funnels)/calculator/page.tsx; app/(funnels)/calculator/CalculatorPageClient.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Result Funnel Page,עמוד תוצאה,"מציג את תוצאות החישוב וקריאות המשך","app/(funnels)/result/page.tsx; app/(funnels)/result/ResultPageClient.tsx","--neu-card; --neu-accent; --text-primary; --muted","--neu-card; --neu-accent; --text-primary; --muted"
Interpretations Funnel Page,עמוד פרשנויות,"מפרט פרשנות מורחבת לקוד העושר עבור המשתמש","app/(funnels)/interpretations/page.tsx; app/(funnels)/interpretations/InterpretationsPageClient.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Sales Funnel Page,עמוד מכירה,"מציג הצעת מכירה והמרה להמשך תהליך","app/(funnels)/sales/page.tsx; app/(funnels)/sales/SalesPageClient.tsx","--neu-card; --neu-accent; --text-primary; --accent","--neu-card; --neu-accent; --text-primary; --accent"
Thank You Funnel Page,עמוד תודה,"סיכום לאחר רכישה או הרשמה עם הנחיות המשך","app/(funnels)/thank-you/page.tsx; app/(funnels)/thank-you/ThankYouPageClient.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Login Page,עמוד התחברות,"טופס התחברות למשתמשי צוות ומנהלה","app/(funnels)/login/page.tsx; app/(funnels)/login/LoginForm.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Funnel Layout,פריסת משפך,"עטיפת פריסת ברירת המחדל למסכי המשפך","app/(funnels)/layout.tsx; app/(funnels)/_components/FunnelPage.tsx","--background; --card; --neu-accent","--background; --card; --neu-accent"
Privacy Policy Page,עמוד פרטיות,"מסמך מדיניות פרטיות במבנה סטטי","app/(legal)/privacy/page.tsx","--background; --text-primary; --text-secondary","--background; --text-primary; --text-secondary"
Terms Page,עמוד תנאים,"מסמך תנאי שימוש מעודכן","app/(legal)/terms/page.tsx","--background; --text-primary; --text-secondary","--background; --text-primary; --text-secondary"
App Shell,מעטפת אפליקציה,"קומפוזיציית מעטפת ראשית עם ניהול SSR","app/components/layout/AppShell.tsx","--background; --card; --neu-accent","--background; --card; --neu-accent"
Header,כותרת עליונה,"סרגל עליון צף עם כלי ניווט","app/components/layout/Header.tsx; app/components/layout/HeaderBar.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Side Menu,תפריט צד,"תפריט ניווט נאומורפי עם מצבי בחירה","app/components/layout/SideMenu.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Page Shell,מעטפת עמוד,"עטיפת דף עם מרווחים ואזורי תוכן","app/components/layout/PageShell.tsx","--background; --text-primary; --neu-accent","--background; --text-primary; --neu-accent"
Page Layout,פריסת עמוד,"קומפוננטת פריסה כללית לעמודים","app/components/layout/PageLayout.tsx","--background; --card; --text-primary","--background; --card; --text-primary"
Standard Page Layout,פריסת עמוד סטנדרטית,"פריסת ברירת מחדל למסכי משפך","app/components/layout/StandardPageLayout.tsx","--background; --card; --neu-accent","--background; --card; --neu-accent"
Drawer Provider,ספק מגירה,"ניהול מצבי פתיחה של המגירה הצדית","app/components/layout/DrawerProvider.tsx","--background; --neu-accent","--background; --neu-accent"
Navigation Buttons,כפתורי ניווט,"מקבץ כפתורי מעבר בין מקטעים","app/components/layout/NavigationButtons.tsx","--neu-accent; --on-accent; --ring","--neu-accent; --on-accent; --ring"
Footer,כותרת תחתונה,"אזור זכויות יוצרים וקישורים","app/components/layout/Footer.tsx","--background; --text-tertiary; --neu-accent","--background; --text-tertiary; --neu-accent"
Splash Screen,מסך פתיחה,"מסך אנימציה בזמן טעינה","app/components/layout/SplashScreen.tsx","--background; --neu-accent; --neu-shadow-light","--background; --neu-accent; --neu-shadow-light"
Cookie Consent,באנר קוקיז,"באנר אישור שימוש בעוגיות","app/components/layout/CookieConsent.tsx","--neu-card; --neu-accent; --paragraph-color","--neu-card; --neu-accent; --paragraph-color"
Social Links,קישורים חברתיים,"רכיב אייקוני חיצוני לפרופילים","app/components/layout/SocialLinks.tsx; app/components/layout/SocialIcons.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Hero Section,מקטע גיבור,"מקטע גיבור בעל אייקון ותוכן מוביל","app/components/sections/Hero.tsx","--neu-card; --neu-accent; --heading-h1-color","--neu-card; --neu-accent; --heading-h1-color"
Terms & Privacy Section,מקטע תנאים ופרטיות,"תכנים משפטיים מסוכמים בעמוד הבית","app/components/sections/TermsPrivacy.tsx","--background; --text-primary; --text-secondary","--background; --text-primary; --text-secondary"
Design Showcase Section,מקטע הדגמת עיצוב,"מציג רכיבי עיצוב נאומורפיים","app/components/sections/DesignShowcase.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Shared Neu Button,כפתור משותף נאומורפי,"עטיפת כפתור רב שימושית","app/components/shared/NeuButton.tsx","--neu-accent; --on-accent; --shadow-raised","--neu-accent; --on-accent; --shadow-raised"
Theme Toggle,מתג תמה,"מתג בין מצב בהיר וכהה","app/components/shared/ThemeToggle.tsx","--neu-card; --neu-accent; --neu-icon","--neu-card; --neu-accent; --neu-icon"
Menu Trigger,כפתור תפריט,"כפתור לפתיחת מגירת הניווט","app/components/shared/MenuTrigger.tsx","--neu-card; --neu-accent; --neu-icon","--neu-card; --neu-accent; --neu-icon"
Shared Icons,אייקונים משותפים,"ספריית אייקונים מותאמת","app/components/shared/icons.tsx","--neu-icon; --neu-accent","--neu-icon; --neu-accent"
Navigation Provider,ספק ניווט,"ניהול הקשר ניווט גלובלי","app/components/providers/NavigationProvider.tsx","--background; --text-primary","--background; --text-primary"
Auth Provider,ספק אימות,"הקשר אימות משתמש ללקוח","app/components/providers/AuthProvider.tsx","--background; --text-primary","--background; --text-primary"
TikTok Pixel,פיקסל טיקטוק,"סקריפט הכנסה לפיקסל מדידה","app/components/analytics/TikTokPixel.tsx","--background; --text-primary","--background; --text-primary"
Neumorphic Card,כרטיס נאומורפי,"רכיב כרטיס כללי בהשראת נאומורפיזם","app/components/neu/Card.tsx","--neu-card; --shadow-raised; --neu-accent","--neu-card; --shadow-raised; --neu-accent"
Neumorphic Button,כפתור נאומורפי,"כפתור עם וריאציות ייעודיות","app/components/neu/Button.tsx","--neu-accent; --on-accent; --shadow-raised","--neu-accent; --on-accent; --shadow-raised"
Neumorphic Icon Button,כפתור אייקון נאומורפי,"כפתור עגול לאייקונים","app/components/neu/IconButton.tsx","--neu-card; --neu-icon; --shadow-raised","--neu-card; --neu-icon; --shadow-raised"
UI Card (shared),כרטיס UI,"כרטיס בסיסי לשימוש כללי","components/ui/Card.tsx","--neu-card; --shadow-raised; --text-primary","--neu-card; --shadow-raised; --text-primary"
UI Icon Button (shared),כפתור אייקון UI,"וריאציית אייקון בספרייה המשותפת","components/ui/IconButton.tsx","--neu-card; --neu-icon; --shadow-raised","--neu-card; --neu-icon; --shadow-raised"
Funnel Hero Section,מקטע גיבור משפך,"גיבור ממוקד עבור דפי המשפך","features/wealth-code/components/sections/Hero.tsx","--neu-card; --neu-accent; --heading-h1-color","--neu-card; --neu-accent; --heading-h1-color"
Funnel Calculator Section,מקטע מחשבון,"מרכז הקלט והאינטראקציה למחשבון","features/wealth-code/components/sections/Calculator.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Birthdate Picker,בחירת תאריך לידה,"קומפוננטה לבחירת תאריך עם ולידציה","features/wealth-code/components/sections/BirthdatePicker.tsx","--neu-card; --neu-accent; --ring","--neu-card; --neu-accent; --ring"
Funnel Result Section,מקטע תוצאה,"מציג את תוצאות החישוב בתוך המשפך","features/wealth-code/components/sections/Result.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Funnel Interpretations Section,מקטע פרשנויות,"מציג פרשנויות מפורטות","features/wealth-code/components/sections/Interpretations.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Funnel Sales Section,מקטע מכירה,"קריאה לפעולה מסחרית בתוך המשפך","features/wealth-code/components/sections/SalesPage.tsx","--neu-card; --neu-accent; --accent","--neu-card; --neu-accent; --accent"
Funnel Thank You Section,מקטע תודה,"מסר סיום וחיזוק מותג","features/wealth-code/components/sections/ThankYou.tsx","--neu-card; --neu-accent; --text-primary","--neu-card; --neu-accent; --text-primary"
Send Email Button,כפתור שליחת אימייל,"כפתור ייעודי להפעלת שליחת מייל","features/wealth-code/components/SendEmailButton.tsx","--neu-accent; --on-accent; --ring","--neu-accent; --on-accent; --ring"
Tabs UI Component,קומפוננטת טאבים,"קומפוננטת טאבים לשימוש פנימי (הקובץ תחת sections הוא alias בלבד)","features/wealth-code/components/ui/tabs.tsx; features/wealth-code/components/sections/ui/tabs.tsx","--neu-card; --neu-accent; --ring","--neu-card; --neu-accent; --ring"
